Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
DAR,Site3d,With_Water,0,0,
DAR,Site3d,With_Water,0.43685055,0,
DAR,Site3d,With_Water,0.3834835,0,
DAR,Site3d,With_Water,0.2725296,0.273215913,
DAR,Site3d,Without_Water,0.000305027,0,
DAR,Site3d,Without_Water,0.4440735,0,
DAR,Site3d,Without_Water,0.452465,0,
DAR,Site3d,Without_Water,0.42592883,0.330693089,
DAR,Site3m,With_Water,0,0,
DAR,Site3m,With_Water,0.44591314,0,
DAR,Site3m,With_Water,0.40482783,0,
DAR,Site3m,With_Water,0.35016057,0.300225385,
DAR,Site3m,Without_Water,0.000305027,0,
DAR,Site3m,Without_Water,0.24122979,0,
DAR,Site3m,Without_Water,0.3952235,0,
DAR,Site3m,Without_Water,0.45989814,0.274164114,
Fisetin,Site1,With_Water,0,0,
Fisetin,Site1,With_Water,0.03105546,0,
Fisetin,Site1,With_Water,0.015116636,0,
Fisetin,Site1,With_Water,0.04906915,0.023810312,
Fisetin,Site1,Without_Water,0.000175396,0,
Fisetin,Site1,Without_Water,0.014645287,0,
Fisetin,Site1,Without_Water,0.01362454,0,
Fisetin,Site1,Without_Water,0.05704437,0.021372398,
Fisetin,Site2,With_Water,0.000175396,0,
Fisetin,Site2,With_Water,0.02370051,0,
Fisetin,Site2,With_Water,0.038726743,0,
Fisetin,Site2,With_Water,0.191507,0.063527412,
Fisetin,Site2,Without_Water,0,0,
Fisetin,Site2,Without_Water,0.054920737,0,
Fisetin,Site2,Without_Water,0.024509015,0,
Fisetin,Site2,Without_Water,0.20197053,0.070350071,
Forsythoside,Site1,With_Water,0,0,
Forsythoside,Site1,With_Water,0.33884475,0,
Forsythoside,Site1,With_Water,0.09381643,0,
Forsythoside,Site1,With_Water,0.11057464,0.135808955,
Forsythoside,Site1,Without_Water,0,0,
Forsythoside,Site1,Without_Water,0.11147366,0,
Forsythoside,Site1,Without_Water,0.102097385,0,
Forsythoside,Site1,Without_Water,0.2746455,0.122054136,
Forsythoside,Site2,With_Water,0.000175396,0,
Forsythoside,Site2,With_Water,0.28212032,0,
Forsythoside,Site2,With_Water,0.2513075,0,
Forsythoside,Site2,With_Water,0.5597918,0.273348754,
Forsythoside,Site2,Without_Water,0,0,
Forsythoside,Site2,Without_Water,0.14169832,0,
Forsythoside,Site2,Without_Water,0.27091077,0,
Forsythoside,Site2,Without_Water,0.5320037,0.236153198,
Forsythoside,Site3d,With_Water,0,0,
Forsythoside,Site3d,With_Water,0.24939846,0,
Forsythoside,Site3d,With_Water,0.1547144,0,
Forsythoside,Site3d,With_Water,0.22368295,0.156948953,
Forsythoside,Site3d,Without_Water,0,0,
Forsythoside,Site3d,Without_Water,0.27531397,0,
Forsythoside,Site3d,Without_Water,0.24341254,0,
Forsythoside,Site3d,Without_Water,0.24673714,0.191365913,
Forsythoside,Site3m,Without_Water,0,0,
Forsythoside,Site3m,Without_Water,0.23460682,0,
Forsythoside,Site3m,Without_Water,0.26060116,0,
Forsythoside,Site3m,Without_Water,0.2579243,0.18828307,
Hydroxychloroquine,Site1,With_Water,0,0,
Hydroxychloroquine,Site1,With_Water,0.20127207,0,
Hydroxychloroquine,Site1,With_Water,0.28159252,0,
Hydroxychloroquine,Site1,With_Water,0.30268598,0.196387643,
Hydroxychloroquine,Site1,Without_Water,0,0,
Hydroxychloroquine,Site1,Without_Water,0.2315181,0,
Hydroxychloroquine,Site1,Without_Water,0.19692436,0,
Hydroxychloroquine,Site1,Without_Water,0.19986744,0.157077475,
Hydroxychloroquine,Site2,With_Water,0.000195313,0,
Hydroxychloroquine,Site2,With_Water,0.24847704,0,
