Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean
Quercitin,Site1,Without_Water,0.05959373,0
Quercitin,Site1,Without_Water,0.05943378,0
Quercitin,Site1,Without_Water,0.049526617,0.042185517
Quercitin,Site2,Without_Water,0,0
Quercitin,Site2,Without_Water,0.07043271,0
Quercitin,Site2,Without_Water,0.052977953,0
Quercitin,Site2,Without_Water,0.0657055,0.047279041
Quercitin,Site3d,Without_Water,0,0
Quercitin,Site3d,Without_Water,0.049192075,0
Quercitin,Site3d,Without_Water,0.05837724,0
Quercitin,Site3d,Without_Water,0.04300778,0.037644274
Quercitin,Site3m,Without_Water,0.00018794,0
Quercitin,Site3m,Without_Water,0.053970724,0
Quercitin,Site3m,Without_Water,0.063270345,0
Quercitin,Site3m,Without_Water,0.0461471,0.040894027
Remdesivir,Site1,Without_Water,0,0
Remdesivir,Site1,Without_Water,0.44825947,0
Remdesivir,Site1,Without_Water,0.6475309,0
Remdesivir,Site1,Without_Water,0.6001645,0.423988718
Remdesivir,Site2,Without_Water,0,0
Remdesivir,Site2,Without_Water,0.15440361,0
Remdesivir,Site2,Without_Water,0.6271901,0
Remdesivir,Site2,Without_Water,0.58150804,0.340775438
Remdesivir,Site3d,Without_Water,0,0
Remdesivir,Site3d,Without_Water,0.38871416,0
Remdesivir,Site3d,Without_Water,0.625813,0
Remdesivir,Site3d,Without_Water,0.60373306,0.404565055
Remdesivir,Site3m,Without_Water,0,0
Remdesivir,Site3m,Without_Water,0.20258765,0
Remdesivir,Site3m,Without_Water,0.6050017,0
Remdesivir,Site3m,Without_Water,0.6156804,0.355817438
Rhein,Site1,Without_Water,0,0
Rhein,Site1,Without_Water,0.0426671,0
Rhein,Site1,Without_Water,0.07586752,0
Rhein,Site1,Without_Water,0.07464269,0.048294328
Rhein,Site2,Without_Water,0,0
Rhein,Site2,Without_Water,0.012047617,0
Rhein,Site2,Without_Water,0.03320094,0
Rhein,Site2,Without_Water,0.04780995,0.023264627
Rhein,Site3d,Without_Water,0,0
Rhein,Site3d,Without_Water,0.03535472,0
Rhein,Site3d,Without_Water,0.03543877,0
Rhein,Site3d,Without_Water,0.021380873,0.023043591
Rhein,Site3m,Without_Water,0,0
Rhein,Site3m,Without_Water,0.04422536,0
Rhein,Site3m,Without_Water,0.044355955,0
Rhein,Site3m,Without_Water,0.03498274,0.030891014
Ritonavir,Site1,Without_Water,0,0
Ritonavir,Site1,Without_Water,0.440771,0
Ritonavir,Site1,Without_Water,0.42990702,0
Ritonavir,Site1,Without_Water,0.24124733,0.277981338
Ritonavir,Site2,Without_Water,0,0
Ritonavir,Site2,Without_Water,0.30521774,0
Ritonavir,Site2,Without_Water,0.35806108,0
Ritonavir,Site2,Without_Water,0.3145926,0.244467855
Ritonavir,Site3d,Without_Water,0,0
Ritonavir,Site3d,Without_Water,0.17788714,0
Ritonavir,Site3d,Without_Water,0.44607744,0
Ritonavir,Site3d,Without_Water,0.425805,0.262442395
Ritonavir,Site3m,Without_Water,0.000265787,0
Ritonavir,Site3m,Without_Water,0.1197722,0
Ritonavir,Site3m,Without_Water,0.11612428,0
Ritonavir,Site3m,Without_Water,0.44364956,0.169952957
