Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value,WOW,dG,Mean
Beta,Site2,With_Water,0.053452667,Repeat without water,-6.6,-6.95
Beta,Site2,Without_Water,0.000143986,With water,-8.3,0
Beta,Site2,Without_Water,0.08956664,Without water,-8.2,0
Beta,Site2,Without_Water,0.04758785,Reapeat with water,-8.5,0
Beta,Site2,Without_Water,0.098977245,Repeat without water,-8.4,-8.35
Beta,Site3d,With_Water,0,With water,-8.3,0
Beta,Site3d,With_Water,0.043623805,Without water,-8.1,0
Beta,Site3d,With_Water,0.0973819,Reapeat with water,-8.5,0
Beta,Site3d,With_Water,0.047939867,Repeat without water,-8.3,-8.3
Beta,Site3d,Without_Water,0,With water,-7,0
Beta,Site3d,Without_Water,0.09695817,Without water,-6.7,0
Beta,Site3d,Without_Water,0.09268837,Reapeat with water,-7.1,0
Beta,Site3d,Without_Water,0.054927133,Repeat without water,-7.3,-7.025
Beta,Site3m,With_Water,0,With water,-7.1,0
Beta,Site3m,With_Water,0.048384964,Without water,-6.6,0
Beta,Site3m,With_Water,0.035495467,Reapeat with water,-7.3,0
Beta,Site3m,With_Water,0.10381222,Repeat without water,-7,-7
Beta,Site3m,Without_Water,0,With water,-5.7,0
Beta,Site3m,Without_Water,0.036235943,Without water,-5.5,0
Beta,Site3m,Without_Water,0.04006805,Reapeat with water,-5.7,0
Beta,Site3m,Without_Water,0.05909826,Repeat without water,-5.4,-5.575
Camostat,Site1,With_Water,0.000167479,With water,-5.8,0
Camostat,Site1,With_Water,0.091131404,Without water,-5.7,0
Camostat,Site1,With_Water,0.1377444,Reapeat with water,-5.7,0
Camostat,Site1,With_Water,0.04333147,Repeat without water,-5.6,-5.7
Camostat,Site1,Without_Water,0,With water,-7.4,0
Camostat,Site1,Without_Water,0.2792197,Without water,-7.5,0
Camostat,Site1,Without_Water,0.051966578,Reapeat with water,-7.4,0
Camostat,Site1,Without_Water,0.21230483,Repeat without water,-7.4,-7.425
Camostat,Site2,With_Water,0.000410238,With water,-7.1,0
Camostat,Site2,With_Water,0.32073456,Without water,-7.4,0
Camostat,Site2,With_Water,0.22955072,Reapeat with water,-7.4,0
Camostat,Site2,With_Water,0.22525758,Repeat without water,-7.4,-7.325
Camostat,Site2,Without_Water,0,With water,-8,0
Camostat,Site2,Without_Water,0.2635579,Without water,-7.8,0
Camostat,Site2,Without_Water,0.26474217,Reapeat with water,-8,0
Camostat,Site2,Without_Water,0.23488092,Repeat without water,-7.8,-7.9
Camostat,Site3d,With_Water,0.000236851,With water,-8,0
Camostat,Site3d,With_Water,0.24550892,Without water,-7.9,0
Camostat,Site3d,With_Water,0.10534049,Reapeat with water,-7.9,0
