Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
Camostat,Site3m,With_Water,0.000334958,0,
Camostat,Site3m,With_Water,0.03245121,0,
Camostat,Site3m,With_Water,0.008523352,0,
Camostat,Site3m,With_Water,0.054057103,0.023841656,
Camostat,Site3m,Without_Water,0.000236851,0,
Camostat,Site3m,Without_Water,0.016254965,0,
Camostat,Site3m,Without_Water,0.015173272,0,
Camostat,Site3m,Without_Water,0.012311706,0.010994199,
Chrysin,Site1,With_Water,0.000150687,0,
Chrysin,Site1,With_Water,0.114487216,0,
Chrysin,Site1,With_Water,0.039742786,0,
Chrysin,Site1,With_Water,0.039371397,0.048438022,
Chrysin,Site1,Without_Water,0,0,
Chrysin,Site1,Without_Water,0.034282506,0,
Chrysin,Site1,Without_Water,0.032363318,0,
Chrysin,Site1,Without_Water,0.05233457,0.029745099,
Chrysin,Site2,With_Water,0,0,
Chrysin,Site2,With_Water,0.045364756,0,
Chrysin,Site2,With_Water,0.042867698,0,
Chrysin,Site2,With_Water,0.035182077,0.030853633,
Chrysin,Site2,Without_Water,0,0,
Chrysin,Site2,Without_Water,0.011546981,0,
Chrysin,Site2,Without_Water,0.048294377,0,
Chrysin,Site2,Without_Water,0.107986145,0.041956876,
Chrysin,Site3d,With_Water,0,0,
Chrysin,Site3d,With_Water,0.10791063,0,
Chrysin,Site3d,With_Water,0.109731495,0,
Chrysin,Site3d,With_Water,0.11137696,0.082254771,
Chrysin,Site3d,Without_Water,0,0,
Chrysin,Site3d,Without_Water,0.045637477,0,
Chrysin,Site3d,Without_Water,0.042243417,0,
Chrysin,Site3d,Without_Water,0.049954683,0.034458894,
Chrysin,Site3m,With_Water,0,0,
Chrysin,Site3m,With_Water,0.024870181,0,
Chrysin,Site3m,With_Water,0.030895585,0,
Chrysin,Site3m,With_Water,0.040274855,0.024010155,
Chrysin,Site3m,Without_Water,0,0,
Chrysin,Site3m,Without_Water,0.032833144,0,
Chrysin,Site3m,Without_Water,0.042630002,0,
Chrysin,Site3m,Without_Water,0.004278021,0.019935292,
Curcumin,Site1,With_Water,0,0,
Curcumin,Site1,With_Water,0.19117512,0,
Curcumin,Site1,With_Water,0.22344744,0,
Curcumin,Site1,With_Water,0.17118204,0.14645115,
Curcumin,Site1,Without_Water,0,0,
Curcumin,Site1,Without_Water,0.22894917,0,
Curcumin,Site1,Without_Water,0.058891855,0,
Curcumin,Site1,Without_Water,0.20791285,0.123938469,
Curcumin,Site2,With_Water,0,0,
Curcumin,Site2,With_Water,0.14076185,0,
Curcumin,Site2,With_Water,0.20598686,0,
Curcumin,Site2,With_Water,0.2046627,0.137852853,
Curcumin,Site2,Without_Water,0,0,
Curcumin,Site2,Without_Water,0.17122419,0,
Curcumin,Site2,Without_Water,0.071211755,0,
Curcumin,Site2,Without_Water,0.17117482,0.103402691,
Curcumin,Site3d,With_Water,0,0,
Curcumin,Site3d,With_Water,0.090196274,0,
Curcumin,Site3d,With_Water,0.1546189,0,
Curcumin,Site3d,With_Water,0.2593725,0.126046919,
Curcumin,Site3d,Without_Water,0,0,
Curcumin,Site3d,Without_Water,0.26822734,0,
Curcumin,Site3d,Without_Water,0.18834792,0,
Curcumin,Site3d,Without_Water,0.19390921,0.162621118,
Curcumin,Site3m,With_Water,0,0,
Curcumin,Site3m,With_Water,0.23224396,0,
Curcumin,Site3m,With_Water,0.16288972,0,
Curcumin,Site3m,With_Water,0.059942607,0.113769072,
Curcumin,Site3m,Without_Water,0,0,
Curcumin,Site3m,Without_Water,0.11281203,0,
Curcumin,Site3m,Without_Water,0.18560961,0,
Curcumin,Site3m,Without_Water,0.19728829,0.123927483,
DAR_DIR,Site1,With_Water,0.000197295,0,
DAR_DIR,Site1,With_Water,0.3391503,0,
DAR_DIR,Site1,With_Water,0.55360055,0,
DAR_DIR,Site1,With_Water,0.43476623,0.331928594,
DAR_DIR,Site1,Without_Water,0,0,
DAR_DIR,Site1,Without_Water,0.3998534,0,
DAR_DIR,Site1,Without_Water,0.36305627,0,
DAR_DIR,Site1,Without_Water,0.38212267,0.286258085,
DAR_DIR,Site2,With_Water,0,0,
DAR_DIR,Site2,With_Water,0.3192264,0,
DAR_DIR,Site2,With_Water,0.39629304,0,
DAR_DIR,Site2,With_Water,0.34919393,0.266178343,
DAR_DIR,Site2,Without_Water,0.000197295,0,
DAR_DIR,Site2,Without_Water,0.3601452,0,
DAR_DIR,Site2,Without_Water,0.3286738,0,
DAR_DIR,Site2,Without_Water,0.2501506,0.234791724,
DAR_DIR,Site3d,With_Water,0,0,
DAR_DIR,Site3d,With_Water,0.16351506,0,
DAR_DIR,Site3d,With_Water,0.27964482,0,
DAR_DIR,Site3d,With_Water,0.24240752,0.17139185,
DAR_DIR,Site3d,Without_Water,0,0,
DAR_DIR,Site3d,Without_Water,0.29890034,0,
DAR_DIR,Site3d,Without_Water,0.41582668,0,
DAR_DIR,Site3d,Without_Water,0.12768947,0.210604123,
DAR_DIR,Site3m,With_Water,0,0,
DAR_DIR,Site3m,With_Water,0.3937687,0,
DAR_DIR,Site3m,With_Water,0.08382247,0,
DAR_DIR,Site3m,With_Water,0.39316973,0.217690225,
DAR_DIR,Site3m,Without_Water,0,0,
DAR_DIR,Site3m,Without_Water,0.02730101,0,
DAR_DIR,Site3m,Without_Water,0.03992296,0,
DAR_DIR,Site3m,Without_Water,0.03620465,0.025857155,
Diammonium,Site1,Without_Water,0.000173998,0,
Diammonium,Site1,Without_Water,0.04613414,0,
Diammonium,Site1,Without_Water,0.050252054,0,
Diammonium,Site1,Without_Water,0.053226676,0.037446717,
Diammonium,Site2,With_Water,0.000173998,0,
Diammonium,Site2,With_Water,0.03890796,0,
Diammonium,Site2,With_Water,0.04019735,0,
Diammonium,Site2,With_Water,0.041925624,0.030301233,
Diammonium,Site2,Without_Water,0,0,
Diammonium,Site2,Without_Water,0.039050873,0,
Diammonium,Site2,Without_Water,0.047168277,0,
Diammonium,Site2,Without_Water,0.040611718,0.031707717,
Diammonium,Site3d,With_Water,0,0,
Diammonium,Site3d,With_Water,0.01670292,0,
Diammonium,Site3d,With_Water,0.039953336,0,
Diammonium,Site3d,With_Water,0.03891574,0.023892999,
Diammonium,Site3d,Without_Water,0.000173998,0,
Diammonium,Site3d,Without_Water,0.03361319,0,
Diammonium,Site3d,Without_Water,0.05038833,0,
Diammonium,Site3d,Without_Water,0.032489244,0.029166191,
Diammonium,Site3m,With_Water,0,0,
Diammonium,Site3m,With_Water,0.04889102,0,
Diammonium,Site3m,With_Water,0.04377914,0,
Diammonium,Site3m,With_Water,0.039417792,0.033021988,
Diammonium,Site3m,Without_Water,0,0,
Diammonium,Site3m,Without_Water,0.030767685,0,
Diammonium,Site3m,Without_Water,0.044811886,0,
Diammonium,Site3m,Without_Water,0.038950346,0.028632479,
Fisetin,Site1,With_Water,0.000195313,0,
Fisetin,Site1,With_Water,0.051588017,0,
Fisetin,Site1,With_Water,0.44590357,0,
Fisetin,Site1,With_Water,0.44209355,0.234945113,
Fisetin,Site1,Without_Water,0,0,
Fisetin,Site1,Without_Water,0.041893963,0,
Fisetin,Site1,Without_Water,0.45116472,0,
Fisetin,Site1,Without_Water,0.45030802,0.235841676,
Fisetin,Site2,With_Water,0,0,
Fisetin,Site2,With_Water,0.029849604,0,
Fisetin,Site2,With_Water,0.44589442,0,
Fisetin,Site2,With_Water,0.4466695,0.230603381,
Fisetin,Site2,Without_Water,0,0,
Fisetin,Site2,Without_Water,0.14702317,0,
Fisetin,Site2,Without_Water,0.44913638,0,
Fisetin,Site2,Without_Water,0.44877067,0.261232555,
Fisetin,Site3d,With_Water,0,0,
Fisetin,Site3d,With_Water,0.16727789,0,
Fisetin,Site3d,With_Water,0.4453574,0,
Fisetin,Site3d,With_Water,0.43017644,0.260702933,
Fisetin,Site3d,Without_Water,0,0,
Fisetin,Site3d,Without_Water,0.05505769,0,
Fisetin,Site3d,Without_Water,0.4484813,0,
Fisetin,Site3d,Without_Water,0.44953305,0.23826801,
Fisetin,Site3m,Without_Water,0,0,
Fisetin,Site3m,Without_Water,0.05504591,0,
Fisetin,Site3m,Without_Water,0.44860768,0,
Fisetin,Site3m,Without_Water,0.456666,0.240079898,
Forsythoside_E,Site1,With_Water,0,0,
Forsythoside_E,Site1,With_Water,0.087777704,0,
Forsythoside_E,Site1,With_Water,0.1148956,0,
Forsythoside_E,Site1,With_Water,0.087777704,0.072612752,
Forsythoside_E,Site2,With_Water,0,0,
Forsythoside_E,Site2,With_Water,0.32571968,0,
Forsythoside_E,Site2,With_Water,0.13026609,0,
Forsythoside_E,Site2,With_Water,0.32789183,0.1959694,
Forsythoside_E,Site2,Without_Water,0,0,
Forsythoside_E,Site2,Without_Water,0.31114507,0,
Forsythoside_E,Site2,Without_Water,0.32058236,0,
Forsythoside_E,Site2,Without_Water,0.06472407,0.174112875,
Forsythoside_E,Site3d,With_Water,0,0,
Forsythoside_E,Site3d,With_Water,0.17491636,0,
Forsythoside_E,Site3d,With_Water,0.3972506,0,
Forsythoside_E,Site3d,With_Water,0.26754114,0.209927025,
Forsythoside_E,Site3d,Without_Water,0,0,
Forsythoside_E,Site3d,Without_Water,0.24455765,0,
Forsythoside_E,Site3d,Without_Water,0.091134265,0,
Forsythoside_E,Site3d,Without_Water,0.25796348,0.148413849,
Forsythoside_E,Site3m,With_Water,0,0,
Forsythoside_E,Site3m,With_Water,0.047088645,0,
Forsythoside_E,Site3m,With_Water,0.057041615,0,
Forsythoside_E,Site3m,With_Water,0.08020248,0.046083185,
Forsythoside_E,Site3m,Without_Water,0.000308816,0,
Forsythoside_E,Site3m,Without_Water,0.06252784,0,
Forsythoside_E,Site3m,Without_Water,0.12908775,0,
Forsythoside_E,Site3m,Without_Water,0.07187394,0.065949587,
Hydroxychloroquine,Site1,With_Water,0,0,
Hydroxychloroquine,Site1,With_Water,0.25030613,0,
Hydroxychloroquine,Site1,With_Water,0.20519122,0,
Hydroxychloroquine,Site1,With_Water,0.19405271,0.162387515,
Hydroxychloroquine,Site1,Without_Water,0,0,
Hydroxychloroquine,Site1,Without_Water,0.15021051,0,
Hydroxychloroquine,Site1,Without_Water,0.24085473,0,
Hydroxychloroquine,Site1,Without_Water,0.23826912,0.15733359,
Hydroxychloroquine,Site2,With_Water,0,0,
