Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean
NHC,Site1,Without_water,-5.723,0
NHC,Site1,Without_water,-6.088,-6.115
Oroxylin_A,Site1,Without_water,-6.453,0
Oroxylin_A,Site1,Without_water,-7.005,0
Oroxylin_A,Site1,Without_water,-8.918,0
Oroxylin_A,Site1,Without_water,-6.379,-7.18875
Oroxylin_A,Site2,Without_water,-6.901,0
Oroxylin_A,Site2,Without_water,-7.127,0
Oroxylin_A,Site2,Without_water,-6.431,0
Oroxylin_A,Site2,Without_water,0,-5.11475
Oroxylin_A,Site3d,Without_water,-10.848,0
Oroxylin_A,Site3d,Without_water,-7.02,0
Oroxylin_A,Site3d,Without_water,-6.9,0
Oroxylin_A,Site3d,Without_water,-6.858,-7.9065
Oroxylin_A,Site3m,Without_water,-7.295,0
Oroxylin_A,Site3m,Without_water,-6.616,0
Oroxylin_A,Site3m,Without_water,-7.357,0
Oroxylin_A,Site3m,Without_water,-7.346,-7.1535
Quercetin,Site1,Without_Water,-9.299,0
Quercetin,Site1,Without_Water,-9.267,0
Quercetin,Site1,Without_Water,-9.238,0
Quercetin,Site1,Without_Water,-9.124,-9.232
Quercetin,Site2,Without_Water,-8.078,0
Quercetin,Site2,Without_Water,-8.166,0
Quercetin,Site2,Without_Water,-7.58,0
Quercetin,Site2,Without_Water,-7.714,-7.8845
Quercetin,Site3d,Without_Water,-10.848,0
Quercetin,Site3d,Without_Water,-7.02,0
Quercetin,Site3d,Without_Water,-6.9,0
Quercetin,Site3d,Without_Water,-6.858,-7.9065
Quercetin,Site3m,Without_Water,-6.848,0
Quercetin,Site3m,Without_Water,-6.935,0
Quercetin,Site3m,Without_Water,-6.573,0
Quercetin,Site3m,Without_Water,-6.995,-6.83775
Remdesivir,Site1,Without_Water,-6.864,0
Remdesivir,Site1,Without_Water,-7.423,0
Remdesivir,Site1,Without_Water,-6.066,0
Remdesivir,Site1,Without_Water,-7.838,-7.04775
Remdesivir,Site2,Without_Water,-7.782,0
Remdesivir,Site2,Without_Water,-7.482,0
Remdesivir,Site2,Without_Water,-7.594,0
Remdesivir,Site2,Without_Water,-8.408,-7.8165
Remdesivir,Site3d,Without_Water,-5.675,0
Remdesivir,Site3d,Without_Water,-6.327,0
Remdesivir,Site3d,Without_Water,-6.088,0
Remdesivir,Site3d,Without_Water,-6.47,-6.14
Remdesivir,Site3m,Without_Water,-4.436,0
Remdesivir,Site3m,Without_Water,-4.445,0
Remdesivir,Site3m,Without_Water,-4.003,0
Remdesivir,Site3m,Without_Water,-4.249,-4.28325
Rhein,Site1,Without_water,-5.897,0
Rhein,Site1,Without_water,-6.048,0
Rhein,Site1,Without_water,-5.95,0
Rhein,Site1,Without_water,-5.9,-5.94875
Rhein,Site2,Without_water,-7.225,0
Rhein,Site2,Without_water,0,0
